Sample Name,name,River,Site,N_conc_mgG,C_conc_mgG,N_conc_molG,C_conc_molG
EBU1,EB,E,B,0.541677264,10.90994667,1.93E-05,0.000908352
EBU2,EB,E,B,1.282665542,36.89660675,4.58E-05,0.003071978
EBU3,EB,E,B,0.452776041,6.544151727,1.62E-05,0.00054486
EBD1,EB,E,B,0,4.097910171,0,0.000341188
EBD2,EB,E,B,0.60895397,6.959654338,2.17E-05,0.000579455
EBD3,EB,E,B,0.461194875,6.584629185,1.65E-05,0.00054823
EURL1,EURL,E,RL,1.505776935,34.54122301,5.37E-05,0.002875871
EURL2,EURL,E,RL,0.775011822,10.00860998,2.77E-05,0.000833308
EURL3,EURL,E,RL,0.784762674,14.584483,2.80E-05,0.001214291
ED1RL1,ED1RL,E,RL,1.249111607,23.06535185,4.46E-05,0.0019204
ED1RL2,ED1RL,E,RL,1.517249836,27.54093015,5.41E-05,0.002293033
ED1RL3,ED1RL,E,RL,2.084670008,38.1879572,7.44E-05,0.003179495
ED2RL1,ED2RL,E,RL,3.541282974,65.85138768,0.000126384,0.005482727
ED2RL2,ED2RL,E,RL,3.280932908,62.4239484,0.000117093,0.005197361
ED2RL3,ED2RL,E,RL,1.836532591,32.84755132,6.55E-05,0.002734857
ED2RW1,ED2RW,E,RW,2.527304065,57.93568708,9.02E-05,0.004823673
ED2RW2,ED2RW,E,RW,1.317744665,18.75795537,4.70E-05,0.00156177
ED2RW3,ED2RW,E,RW,2.138722781,38.74856336,7.63E-05,0.00322617
EURW1,EURW,E,RW,0.44772354,10.32719033,1.60E-05,0.000859833
EURW2,EURW,E,RW,0,6.925084347,0,0.000576576
EURW3,EURW,E,RW,0.640711529,11.10366196,2.29E-05,0.000924481
ED1RW1,ED1RW,E,RW,0,6.493636026,0,0.000540654
ED1RW1,ED1RW,E,RW,0.468389225,8.178564902,1.67E-05,0.00068094
ED1RW1,ED1RW,E,RW,0,5.859100598,0,0.000487823
WD1RW1,WD1RW,W,RW,0,1.173578403,0,9.77E-05
WD1RW2,WD1RW,W,RW,0,1.377588776,0,0.000114697
WD1RW3,WD1RW,W,RW,0,1.145216264,0,9.53E-05
WD2RL1,WD2RL,W,RL,0,0.957301619,0,7.97E-05
WD2RL2,WD2RL,W,RL,0,0.918848246,0,7.65E-05
WD2RL3,WD2RL,W,RL,0,1.014029125,0,8.44E-05
WD1RL1,WD1RL,W,RL,0,3.242969453,0,0.000270007
WD1RL2,WD1RL,W,RL,0,1.316165946,0,0.000109583
WD1RL3,WD1RL,W,RL,0,1.105653959,0,9.21E-05
WURL1,WURL,W,RL,1.32073086,17.87538709,4.71E-05,0.001488289
WURL2,WURL,W,RL,0.924053419,10.41990253,3.30E-05,0.000867552
WURL3,WURL,W,RL,0,3.335997707,0,0.000277752
WD2RW1,WD2RW,W,RW,0,3.493312826,0,0.00029085
WD2RW2,WD2RW,W,RW,0,4.448205313,0,0.000370354
WD2RW3,WD2RW,W,RW,0.598324233,7.255205951,2.14E-05,0.000604062
WB1,WB,W,B,1.071651375,33.08780821,3.82E-05,0.002754861
WB2,WB,W,B,1.40630701,43.38438014,5.02E-05,0.003612144
WB3,WB,W,B,1.122430217,30.17042556,4.01E-05,0.002511962
WURW1,WURW,W,RW,0.885674088,9.885135185,3.16E-05,0.000823027
WURW2,WURW,W,RW,1.101229347,14.77807137,3.93E-05,0.001230409
WURW3,WURW,W,RW,1.33919943,18.98618998,4.78E-05,0.001580773
