Nr,Pos,SampleName,CreationDate,ProcessTime,Amount,Unit,ConcentrateAmount,Unit,Type,State,CalFile,MethodFile,Height,Cell,Hg [ng],Concentration,Unit,DilutionWeight,FinalVolume,CalFactor,DilutionFactor,Statistics,Group,Remark,AS-Pos
1,1,ib,2023-12-06-17-16-56,2023-12-06-17-27-33,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.00668,0,0.0434,0.0434,ug/kg,,,1,,,,,
2,2,ib,2023-12-06-17-17-40,2023-12-06-17-33-42,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.001807,0,0.0098,0.0098,ug/kg,,,1,,,,,
5,3,cs456,2023-12-06-19-26-13,2023-12-06-19-27-14,0.1359,g,0.1359,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.459116,1,10.56,77.7043,ug/kg,,,1,,,,,
6,4,ebu3,2023-12-06-21-02-04,2023-12-06-21-05-29,0.5752,g,0.5752,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.221262,1,4.6115,8.0173,ug/kg,,,1,,,,,
7,4,ebu3,2023-12-06-21-20-46,2023-12-06-21-23-53,1.0026,g,1.0026,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.367185,1,8.1075,8.0865,ug/kg,,,1,,,,,
8,1,ib,2023-12-12-17-33-10,2023-12-12-17-45-32,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.02245,0,0.1528,0.1528,ug/kg,,,1,,,,,
9,2,ib,2023-12-12-17-33-11,2023-12-12-17-51-41,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.001565,0,0.0081,0.0081,ug/kg,,,1,,,,,
12,12,water blank,2023-12-12-17-43-09,2023-12-12-18-01-24,0.4881,g,0.4881,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.029492,0,0.202,0.4139,ug/kg,,,1,,,,,
16,4,cs-456,2023-12-12-18-23-25,2023-12-12-18-33-04,0.1114,g,0.1114,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.444545,1,10.1555,91.1622,ug/kg,,,1,,,,,
17,5,cs-456,2023-12-12-18-27-42,2023-12-12-18-39-12,0.1123,g,0.1123,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.384243,1,8.5457,76.0973,ug/kg,,,1,,,,,
19,6,cs456,2023-12-12-18-48-59,2023-12-12-18-53-13,0.1162,g,0.1162,g,normal,finished,cal_11-2-23.c80,merpas.m80,0.410446,1,9.2331,79.4587,ug/kg,,,1,,,,,
20,7,ebu3_spike,2023-12-12-19-00-43,2023-12-12-19-04-26,1.0229,g,1.0229,g,normal,finished,cal_11-2-23.c80,merpas.m80,0.722951,1,19.569,19.1309,ug/kg,,,1,,,,,
21,8,wd1rl1,2023-12-12-19-41-59,2023-12-12-21-02-55,0.9935,g,0.9935,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.256323,1,5.4145,5.4499,ug/kg,,,1,,,,,
22,9,wd1rl1,2023-12-12-19-50-26,2023-12-12-21-09-05,1.0116,g,1.0116,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.495713,0,4.1363,4.0888,ug/kg,,,1,,,,,
23,10,wd2rw3,2023-12-12-19-53-12,2023-12-12-21-18-30,1.0255,g,1.0255,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.422866,1,9.5653,9.3274,ug/kg,,,1,,,,,
24,11,wd2rw3,2023-12-12-19-56-17,2023-12-12-21-28-00,0.9999,g,0.9999,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.424209,1,9.6014,9.6024,ug/kg,,,1,,,,,
25,12,wurl2,2023-12-12-19-58-28,2023-12-12-21-37-30,1.0235,g,1.0235,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0254,2,37.4642,36.604,ug/kg,,,1,,,,,
26,13,wurl2,2023-12-12-20-02-34,2023-12-12-21-47-10,1.0143,g,1.0143,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0259,2,38.2644,37.725,ug/kg,,,1,,,,,
27,14,wurw1,2023-12-12-20-05-22,2023-12-12-21-56-39,1.0055,g,1.0055,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.678451,1,17.727,17.6301,ug/kg,,,1,,,,,
28,15,wurw1,2023-12-12-20-11-43,2023-12-12-22-06-07,1.0101,g,1.0101,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.580827,1,14.2371,14.0947,ug/kg,,,1,,,,,
29,16,wb1,2023-12-12-20-14-48,2023-12-12-22-15-34,1.1252,g,1.1252,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.469496,1,10.8522,9.6447,ug/kg,,,1,,,,,
30,17,wb1,2023-12-12-20-18-40,2023-12-12-22-25-10,1.0269,g,1.0269,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.781827,1,22.3972,21.8105,ug/kg,,,1,,,,,
31,18,ed1rl1,2023-12-12-20-21-44,2023-12-12-22-34-47,1.0114,g,1.0114,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.826966,1,25.0711,24.7885,ug/kg,,,1,,,,,
32,19,ed1rl1,2023-12-12-20-26-01,2023-12-12-22-44-21,1.0367,g,1.0367,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.821427,1,24.7073,23.8327,ug/kg,,,1,,,,,
33,20,ebd2,2023-12-12-20-29-26,2023-12-12-22-54-00,1.0586,g,1.0586,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.571124,1,13.921,13.1503,ug/kg,,,1,,,,,
34,21,ebd2,2023-12-12-20-32-05,2023-12-12-23-03-36,1.0056,g,1.0056,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.457507,1,10.515,10.4565,ug/kg,,,1,,,,,
35,22,ed2rl2,2023-12-12-20-34-30,2023-12-12-23-13-08,1.0413,g,1.0413,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0428,2,65.3126,62.7222,ug/kg,,,1,,,,,
43,-,auto BV (1),2023-12-12-23-22-40,2023-12-12-23-22-40,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.00515,0,0.0328,,,,,1,,,,,
36,23,ed2rl2,2023-12-12-20-41-26,2023-12-12-23-26-15,1.0368,g,1.0368,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0515,2,79.2368,76.4244,µg/kg,,,1,,,,,
44,-,auto BV (1),2023-12-12-23-35-22,2023-12-12-23-35-23,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.005631,0,0.0362,,,,,1,,,,,
37,24,eurw1,2023-12-12-20-42-24,2023-12-12-23-38-56,1.0151,g,1.0151,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.476342,1,11.0469,10.8825,µg/kg,,,1,,,,,
38,25,eurw1,2023-12-12-20-44-25,2023-12-12-23-48-04,1.0616,g,1.0616,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.590825,1,14.5678,13.7225,µg/kg,,,1,,,,,
39,26,ed2rw3,2023-12-12-20-48-46,2023-12-12-23-57-30,1.0187,g,1.0187,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0317,2,47.5472,46.6744,µg/kg,,,1,,,,,
40,27,ed2rw3,2023-12-12-20-54-30,2023-12-13-00-07-06,1.142,g,1.142,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0353,2,53.309,46.6804,µg/kg,,,1,,,,,
45,-,auto BV (1),2023-12-13-00-16-44,2023-12-13-00-16-44,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.005925,0,0.0382,,,,,1,,,,,
41,28,acswater,2023-12-12-20-56-54,2023-12-13-00-20-19,0.6212,g,0.6212,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.01642,0,0.1109,0.1785,µg/kg,,,1,,,,,
42,29,cs456,2023-12-12-20-59-40,2023-12-13-00-29-28,0.1012,g,0.1012,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.354784,1,7.7933,77.0087,µg/kg,,,1,,,,,
46,10,acswater_real,2023-12-13-00-47-17,2023-12-13-00-55-57,0.5013,g,0.5013,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.030206,0,0.207,0.413,µg/kg,,,1,,,,,
48,1,ib,2024-02-29-19-43-00,2024-02-29-19-53-07,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.005367,0,0.0343,0.0343,µg/kg,,,1,,,,,
49,2,ib,2024-02-29-19-43-07,2024-02-29-19-59-17,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.001561,0,0.0081,0.0081,µg/kg,,,1,,,,,
50,10,clean,2024-03-04-19-46-22,2024-03-04-19-59-08,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.015815,0,0.1067,0.1067,µg/kg,,,1,,,,,
51,11,clean,2024-03-04-19-46-33,2024-03-04-20-05-17,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.011257,0,0.0751,0.0751,µg/kg,,,1,,,,,
52,1,ib,2024-03-04-19-46-42,2024-03-04-20-15-01,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.001001,0,0.0042,0.0042,µg/kg,,,1,,,,,
56,3,cs456,2024-03-04-20-28-01,2024-03-04-20-38-13,0.1068,g,0.1068,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.377123,1,8.362,78.2956,µg/kg,,,1,,,,,
57,4,cs456,2024-03-04-20-30-35,2024-03-04-20-44-21,0.1124,g,0.1124,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.396801,1,8.8729,78.9407,µg/kg,,,1,,,,,
58,5,water blank,2024-03-04-20-32-22,2024-03-04-20-53-52,0.4977,g,0.4977,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.008587,0,0.0566,0.1137,µg/kg,,,1,,,,,
59,6,wd1rw1,2024-03-04-21-06-10,2024-03-04-21-35-59,1.0292,g,1.0292,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.252018,0,1.8822,1.8288,µg/kg,,,1,,,,,
60,7,wd1rw1,2024-03-04-21-07-58,2024-03-04-21-42-07,1.0194,g,1.0194,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2421,0,1.8012,1.767,µg/kg,,,1,,,,,
